GUID,ItemName,ElementName,ElementType,ElementCategory,ElementFamily Name,ElementSystem Classification,CADmep+Service,CADmep+Service Type,ElementFabrication Service Name,ElementSize,ElementNominal Diameter,ElementArea,CADmep+Area,ElementLength,CADmep+Length/Angle,AttributesLength,AutoCadLength,ElementWeight,Tekla QuantityWeight,CADmep+Weight,SDS2_GeneralMember_Net_Weight,Code,Description
7d653312-92ae-4bb4-8f02-c23c1845412f,W14x2,2013C1,"DirectShapeType ""W14x2"", #285318",Columns,,,,,,,,,,,,,,,,,2338 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454138,W14x2,2090C1,"DirectShapeType ""W14x2"", #285327",Columns,,,,,,,,,,,,,,,,,2715 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c1845414b,W14x2,2018C2,"DirectShapeType ""W14x2"", #285410",Columns,,,,,,,,,,,,,,,,,2752 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454150,W14x176,2016C1,"DirectShapeType ""W14x176"", #285431",Columns,,,,,,,,,,,,,,,,,3224 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454162,W14x2,2010C1,"DirectShapeType ""W14x2"", #285385",Columns,,,,,,,,,,,,,,,,,2085 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454165,W14x120,2014C1,"DirectShapeType ""W14x120"", #285380",Columns,,,,,,,,,,,,,,,,,2085 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454169,W14x2,2010C2,"DirectShapeType ""W14x2"", #285376",Columns,,,,,,,,,,,,,,,,,2489 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c1845416d,W14x120,2014C1,"DirectShapeType ""W14x120"", #285380",Columns,,,,,,,,,,,,,,,,,2085 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454172,W14x2,2022C1,"DirectShapeType ""W14x2"", #285401",Columns,,,,,,,,,,,,,,,,,2817 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454179,W14x109,2014C2,"DirectShapeType ""W14x109"", #285392",Columns,,,,,,,,,,,,,,,,,1932 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c1845417e,W14x2,2015C1,"DirectShapeType ""W14x2"", #285397",Columns,,,,,,,,,,,,,,,,,2519 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184541c1,W14x1,2012C1,"DirectShapeType ""W14x1"", #285288",Columns,,,,,,,,,,,,,,,,,2335 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184541db,W14x2,2009C1,"DirectShapeType ""W14x2"", #285298",Columns,,,,,,,,,,,,,,,,,2280 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184541fe,W14x132,2011C1,"DirectShapeType ""W14x132"", #285269",Columns,,,,,,,,,,,,,,,,,2340 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184546dc,PL3/4x22 3/4x3-5 3/4,pl149_2,"DirectShapeType ""PL3/4x22 3/4x3-5 3/4"", #286067",Structural Framing,,,,,,,,,,,,,,,,,547 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184546e2,PL3/4x24 3/4x2-0 3/4,pl69_2,"DirectShapeType ""PL3/4x24 3/4x2-0 3/4"", #286025",Structural Framing,,,,,,,,,,,,,,,,,248 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184546f5,PL3/4x24 1/4x2-0 3/4,pl124_2,"DirectShapeType ""PL3/4x24 1/4x2-0 3/4"", #286044",Structural Framing,,,,,,,,,,,,,,,,,259 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c1845608a,PL1x25 3/4x2-7 3/4,pl780_4,"DirectShapeType ""PL1x25 3/4x2-7 3/4"", #293665",Structural Framing,,,,,,,,,,,,,,,,,560 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18456222,PL1x33 1/4x4-2 3/4,pl529_4,"DirectShapeType ""PL1x33 1/4x4-2 3/4"", #293257",Structural Framing,,,,,,,,,,,,,,,,,617 kg,05 21 23,Steel Joist Girder Framing
